Sl. No Col. (1),Category,Crime Head - Col. (2),Cases of Crimes committed against - Foreign Tourists - Col. (3),Cases of Crimes committed against - Other Foreigners - Col. (4),Cases of Crimes committed against - Total Foreigners (Col.3+Col.4) - Col. (5)
1,IPC,Murder,5,4,9
2,IPC,Culpable Homicide not amounting to Murder,0,0,0
3,IPC,Attempt to Commit Murder/Culpable Homicide,2,1,3
4,IPC,Simple Hurt,5,3,8
5,IPC,Grievous Hurt,0,1,1
6,IPC,Assault on Women with Intent to Outrage her Modesty,7,8,15
7,IPC,Kidnapping and Abduction,0,3,3
8,IPC,Human Trafficking,2,6,8
9,IPC,Rape,5,9,14
10,IPC,Theft,19,4,23
11,IPC,Extortion,0,0,0
12,IPC,Robbery,5,2,7
13,IPC,Dacoity,1,1,2
14,IPC,Cheating,3,11,14
15,IPC,Forgery,0,0,0
16,IPC,Insult to the Modesty of Women,0,0,0
17,IPC,Other IPC Crimes,9,5,14
